Name,Team,ERA,GB/FB,Relief-IP,K%,BB%,HardHit%,Zone%,Pace (pi)
Griffin Jax,MIN,3.83,1.92,42.1,37.90%,5.60%,46.00%,41.60%,18.8
Camilo Doval,SFG,2.95,1.84,42.2,23.10%,12.70%,40.00%,43.00%,18.7
Jake Bird,COL,4.09,1.79,50.2,27.10%,9.50%,41.60%,47.40%,18.7
Jack Dreyer,LAD,2.14,0.76,42,25.00%,11.30%,38.30%,46.20%,18.6
Steven Cruz,KCR,2.61,1.15,38,22.10%,8.10%,32.00%,51.40%,18.6
Jacob Webb,TEX,3.77,0.64,45.1,18.00%,7.40%,35.00%,46.30%,18.6
Andrés Muñoz,SEA,1.46,1.64,37,32.90%,10.30%,42.00%,38.50%,18.6
Juan Mejia,COL,4.46,0.97,34.1,23.10%,8.40%,34.40%,44.90%,18.5
Jordan Romano,PHI,6.88,0.8,35.1,24.00%,9.70%,41.00%,46.40%,18.5
Graham Ashcraft,CIN,3.46,2.54,41.2,23.60%,9.60%,36.10%,38.20%,18.5
Chris Flexen,CHC,0.83,0.95,32.2,13.90%,6.60%,36.10%,45.40%,18.5
Brant Hurter,DET,3.46,1.63,39,25.00%,9.50%,35.20%,45.00%,18.5
Spencer Bivens,SFG,4.18,1.39,47.1,19.20%,7.10%,32.90%,44.50%,18.4
Carlos Vargas,SEA,3.91,1.77,46,15.80%,9.40%,31.50%,46.60%,18.4
Mason Montgomery,TBR,5.74,1.31,31.1,28.50%,13.20%,39.80%,46.10%,18.4
Mason Miller,ATH,4.04,0.78,35.2,40.10%,12.00%,41.80%,38.00%,18.4
Louis Varland,MIN,1.81,2.44,44.2,24.60%,6.30%,40.30%,49.60%,18.4
Eduard Bazardo,SEA,2.84,0.81,50.2,23.00%,10.80%,38.10%,46.80%,18.3
Dylan Lee,ATL,2.68,0.81,43.2,27.20%,6.50%,33.00%,44.70%,18.3
Jose A. Ferrer,WSN,5.07,2.74,49.2,19.70%,4.80%,38.80%,49.10%,18.3
Cole Henry,WSN,3.6,0.62,35,21.80%,10.90%,38.50%,44.30%,18.2
Grant Anderson,MIL,2.79,1.18,48.1,24.60%,10.10%,36.90%,45.40%,18.2
Lou Trivino,2 Tms,4.42,0.75,36.2,17.40%,8.10%,31.00%,43.40%,18.2
Mike Vasil,CHW,1.73,1.42,52,15.80%,12.60%,39.20%,41.30%,18.2
Tyler Phillips,MIA,3.61,1.54,47.1,14.70%,7.60%,36.20%,42.30%,18.2
Trent Thornton,SEA,4.54,0.91,35.2,17.20%,9.30%,43.90%,46.70%,18.2
Caleb Thielbar,CHC,2.21,0.89,36.2,25.00%,7.90%,30.90%,45.00%,18.2
Jackson Rutledge,WSN,6.25,0.86,44.2,19.10%,8.30%,43.40%,41.70%,18.1
