Name,Team,ERA-,GB/FB,Zone%,O-Swing%,K%,HardHit%,WHIP,Relief-IP
Orion Kerkering,PHI,68,1.12,46.10%,26.90%,22.10%,31.50%,1.43,37.2
Seth Halvorsen,COL,107,1.66,42.70%,34.40%,21.30%,38.70%,1.54,37.2
Ryan Pressly,CHC,89,2.21,46.60%,27.40%,16.00%,47.90%,1.5,37.1
Luke Weaver,NYY,66,0.4,40.80%,35.00%,26.20%,36.80%,0.83,37.1
Daniel Lynch IV,KCR,63,1.19,45.00%,28.70%,14.30%,43.10%,1.37,37.1
John King,STL,131,3.31,44.70%,32.10%,12.60%,40.00%,1.63,37.1
Yuki Matsui,SDP,128,0.56,38.90%,36.30%,24.50%,42.30%,1.42,37.1
Kyle Finnegan,WSN,112,1.24,48.90%,28.00%,19.20%,39.60%,1.32,37
Joey Wentz,3 Tms,153,0.88,41.40%,32.30%,19.50%,47.50%,1.7,37
Max Kranick,NYM,92,0.83,52.20%,32.80%,16.90%,44.90%,1.05,37
Pierce Johnson,ATL,65,0.79,46.60%,31.30%,27.30%,43.00%,1.09,36.2
Lou Trivino,2 Tms,109,0.75,43.40%,28.20%,17.40%,31.00%,1.39,36.2
Aaron Bummer,ATL,83,3.21,42.00%,31.80%,23.40%,38.80%,1.28,36.2
Trent Thornton,SEA,117,0.93,46.80%,33.80%,17.50%,43.10%,1.23,36.2
Jorge Alcala,2 Tms,151,0.8,44.20%,32.40%,24.20%,32.40%,1.58,36.2
Shelby Miller,ARI,47,0.82,45.80%,36.10%,28.00%,37.10%,0.96,36.1
Garrett Cleavinger,TBR,61,0.94,48.60%,31.60%,33.30%,42.70%,0.96,36.1
Phil Maton,STL,61,1.58,44.00%,32.60%,30.90%,30.60%,1.18,36.1
Calvin Faucher,MIA,100,1.53,40.90%,25.30%,23.30%,30.10%,1.4,36.1
Daniel Palencia,CHC,37,0.94,47.90%,32.40%,28.80%,42.50%,0.91,36.1
Rafael Montero,2 Tms,97,1.17,36.10%,34.20%,25.30%,44.70%,1.19,36
Ryan Zeferjahn,LAA,135,0.92,45.40%,28.70%,26.70%,41.70%,1.58,36
Casey Legumina,SEA,159,1.03,46.90%,33.00%,25.60%,42.70%,1.39,36
Cole Henry,WSN,85,0.61,43.60%,22.20%,21.70%,38.40%,1.31,36
Mason Fluharty,TOR,130,0.88,40.60%,29.30%,25.20%,34.40%,1.22,36
Mason Miller,ATH,96,0.76,38.00%,38.20%,39.90%,41.20%,1.06,36
Kenley Jansen,LAA,80,0.47,51.80%,30.60%,23.50%,47.60%,1.15,35.2
